87261,15497,9325
16466,13685,49674
272,39922,32944
29156,19635,87395
45647,1510,36341
78704,22577,45463
15168,81754,21365
65667,33114,60925
47949,12251,24612
73884,45102,4144
36912,10653,3612
15186,27776,96602
18243,9918,64315
49683,5690,55928
27796,78204,78271
57239,8289,79957
20924,40938,94352
96209,53766,30815
55687,39207,14530
77608,55827,42255
58712,7565,62300
34446,27516,47919
83681,63797,59259
89683,17229,43205
36757,31448,43294
72536,46575,91020
29667,60799,34449
79396,82070,86971
40524,60073,88070
63390,87479,99171
87845,7030,30673
82418,74175,51260
1792,95103,78439
2413,33459,42972
62511,34454,22028
25053,76673,33120
7360,44192,99810
23830,42493,74927
84247,10555,21525
70208,38100,94569
91944,23556,92569
50679,17541,58807
90293,96311,81752
68885,58980,66872
38890,93314,87739
94339,74629,13149
32756,99473,28151
54641,45468,39627
39472,59409,36872
81429,8071,80101
82730,82061,6736
54822,98690,95015
69425,60079,4006
60761,28358,26971
75598,83327,85907
66229,18737,28210
76380,98809,40058
42012,64287,45613
66867,90749,85260
35027,72615,31691
16705,34021,21616
77028,54254,68031
61138,19554,11188
38699,60981,78095
78325,75342,19860
79834,16349,15805
35061,38109,68705
31783,22773,57165
6717,21138,7599
12993,57528,39678
92522,24250,36248
44028,17019,55871
54881,48181,98108
45889,19328,43752
84757,32772,41189
8862,92579,95051
80916,95433,96828
19804,32996,78873
65342,53512,50487
18115,98335,83924
56023,75277,92791
69531,78027,1534
70042,3388,95815
4546,45665,38095
44589,70099,1123
41132,73317,39761
51889,15446,24769
22683,32867,44570
10424,94724,19596
78937,33955,65028
24378,8671,8816
48942,96617,95694
59322,7983,83199
5693,64363,10400
79927,69125,30257
39161,11324,54577
78876,64031,91374
91019,31306,88306
40190,75753,11211
42987,4475,38792
98680,97311,67023
52985,30493,77074
41125,22366,69997
74695,59300,2908
95685,18132,56829
3245,76163,61347
64103,35009,87751
15695,98298,79553
74166,59398,44804
70085,63350,17884
48332,55083,20037
79339,68769,73567
82302,2328,69379
87887,72353,41829
86677,51618,84995
99752,19457,44469
98394,30130,76564
52540,60424,58974
41890,69361,27417
26683,73845,13775
50779,16156,23814
16667,58520,83077
72340,95653,84256
73476,77464,80082
84171,66502,60728
47087,14206,62787
22972,1018,34702
97754,53864,55468
69792,68348,41724
30566,83958,45950
89039,43359,91009
9406,25312,70463
81760,73356,83549
87879,29183,38159
66652,20538,94963
30043,91797,55248
43039,91569,27101
15788,45618,82588
57733,62512,9959
46498,66174,44883
32123,23631,31494
1321,2206,66833
39001,3690,7239
49798,7977,84396
48732,98527,50644
52393,65428,14381
49379,4450,14581
63913,6212,12845
61268,58116,73825
27322,81956,30147
10942,63928,40482
96512,27815,76473
9719,78353,55450
67099,15701,95377
11490,4261,81335
79777,67887,81662
60106,97589,92647
86976,25288,93185
26969,9919,23897
73573,27898,25244
6440,33788,7666
46034,855,55590
7555,79111,42076
28117,74817,89250
85287,81625,54578
18088,92122,61571
48977,22052,63240
18557,37321,20329
9460,45760,43556
46928,76088,56216
814,12360,13319
81300,12609,21588
79517,64068,81990
924,66417,68406
54612,31774,96351
80471,50530,11972
94781,22356,89130
93308,27838,60806
8854,18274,88147
83874,60492,80513
44690,45237,92374
6791,58359,75467
25424,36880,26619
19493,34222,9676
13391,43939,50050
35673,56989,32731
97423,98668,25380
46566,75741,23079
7939,5447,31944
21655,32525,83863
13014,94583,70448
7324,83986,42261
16720,55369,87998
26472,93800,10034
70605,28653,41500
16547,96973,8628
99270,23228,33955
26049,18139,44718
21012,2279,24083
3279,6388,38974
91715,79796,15038
76887,33336,83846
50145,43932,3457
91675,13373,64077
10015,14899,83513
50879,90898,40256
87355,3316,96174
12561,69095,32809
33155,36401,49666
43986,11987,16027
19250,46736,35065
82492,24709,11589
23589,19704,68759
76503,70972,69830
94741,41960,65549
98892,75420,38088
76648,36754,87384
36757,49224,75510
35568,1460,86082
46151,91733,95847
4411,76720,43365
99558,58869,23936
77516,37867,8447
23789,80289,14574
33421,11122,44534
28847,54257,51118
94321,54467,71422
21244,48120,664
96830,96086,17162
58565,29759,62217
30422,55997,96247
19215,72166,48
7562,77082,36996
24531,44596,11118
45730,85273,68068
81645,13564,56356
23982,17818,30473
85170,27665,28695
58734,12813,93331
69215,99868,72265
37797,8225,55058
42492,42797,26851
40845,78442,59344
1046,13003,10642
86309,76577,53407
33160,43599,39161
40269,83942,85195
79348,24466,89590
89199,90482,92326
59430,8744,59065
96849,97043,40117
77719,69111,66268
41255,50254,83835
32016,26275,61686
97569,62158,39301
50330,24608,57377
25386,67829,80021
92358,27832,21308
36627,39399,42301
11416,94315,78595
99208,64020,97228
15780,60440,81608
3297,57607,45399
44277,78631,74257
18814,77583,68341
94601,10273,84851
68044,71084,7703
50855,64517,55627
96330,49795,27743
91350,56208,97156
63415,34654,98147
38286,88718,29055
5730,58493,83752
96116,63481,74083
25924,43803,24817
41406,9583,11723
2172,23609,33134
33149,22897,31009
41245,41537,72873
812,1122,44858
63095,82032,75182
33655,78115,20142
4068,41730,57593
97884,5298,94233
89322,40368,16075
23142,52978,66660
768,10197,5147
1385,12120,2103
77515,9043,43033
90645,18837,93805
55973,34327,27500
7238,98147,29797
33363,16830,41341
96781,15627,26322
59769,84237,16609
73722,31916,17090
90740,9843,22753
330,33207,26232
41011,62365,65375
29999,37673,23804
